cid,datahead,dataurl,institute
1,神奈川県横浜市：「小規模事業者店舗改修助成事業」,https://hojyokin-portal.jp/subsidies/32535,横浜市
2,神奈川県横浜市：「伴走型経営支援特別資金」,https://hojyokin-portal.jp/subsidies/25168,横浜市
3,神奈川県横浜市：「企業立地促進条例」,https://hojyokin-portal.jp/subsidies/35846,横浜市
4,神奈川県横浜市：「栄区みんなが主役のまちづくり協働推進事業補助金...,https://hojyokin-portal.jp/subsidies/35614,横浜市
5,神奈川県横浜市：「グリーンリカバリー設備投資助成金」≪10月再募...,https://hojyokin-portal.jp/subsidies/34165,横浜市
6,神奈川県横浜市：「商店街プレミアム付商品券支援事業」,https://hojyokin-portal.jp/subsidies/32750,横浜市
7,神奈川県横浜市：「商店街ソフト支援事業」,https://hojyokin-portal.jp/subsidies/32581,横浜市
8,神奈川県横浜市：「商店街原動力強化支援事業（調査・相談・事務委託...,https://hojyokin-portal.jp/subsidies/32580,横浜市
9,神奈川県横浜市：「安全・安心な商店街づくり事業」,https://hojyokin-portal.jp/subsidies/32577,横浜市
10,神奈川県横浜市：「商店街空き店舗活用事業（空き店舗開業助成事業）...,https://hojyokin-portal.jp/subsidies/32578,横浜市
11,神奈川県横浜市：「商店街集客力促進事業」,https://hojyokin-portal.jp/subsidies/32576,横浜市
12,神奈川県横浜市：「建築物不燃化推進事業補助」,https://hojyokin-portal.jp/subsidies/31482,横浜市
13,神奈川県横浜市：「令和5年度保育所等トイレ・調理室乾式化補助事業...,https://hojyokin-portal.jp/subsidies/31415,横浜市
14,神奈川県横浜市：「次世代重点・成長分野立地促進助成（拡張・移転特...,https://hojyokin-portal.jp/subsidies/31156,横浜市
15,神奈川県横浜市：「令和5年度民間保育所等中規模改修事業」≪4次≫,https://hojyokin-portal.jp/subsidies/31115,横浜市
16,神奈川県横浜市：「外資系企業国内展示会出展助成金」,https://hojyokin-portal.jp/subsidies/30379,公益法人横浜企業経営支援財団
17,神奈川県横浜市：「市場輸出力強化補助金」,https://hojyokin-portal.jp/subsidies/30102,横浜市
18,神奈川県横浜市：「事業承継・M＆A着手支援事業助成金」,https://hojyokin-portal.jp/subsidies/29316,公益財団法人横浜企業経営支援財団
19,神奈川県横浜市：「令和5年度民間保育所等中規模改修事業」≪3次≫,https://hojyokin-portal.jp/subsidies/28873,横浜市
20,神奈川県横浜市：「令和5年度 知的財産活動助成金」,https://hojyokin-portal.jp/subsidies/28770,横浜市
21,神奈川県横浜市：「横浜保育室認可保育所移行支援事業」≪2次募集≫,https://hojyokin-portal.jp/subsidies/28233,横浜市
22,神奈川県横浜市：「中小企業新技術・新製品開発促進助成金」（令和5...,https://hojyokin-portal.jp/subsidies/28018,横浜市
23,神奈川県横浜市：「グリーンリカバリー設備投資助成金」,https://hojyokin-portal.jp/subsidies/27999,横浜市
24,神奈川県横浜市：「令和5年度中小企業デジタル化推進支援補助金」,https://hojyokin-portal.jp/subsidies/27978,横浜市
25,神奈川県横浜市：「令和5年度小規模事業者設備投資助成金」,https://hojyokin-portal.jp/subsidies/27963,横浜市
26,神奈川県横浜市：「ものづくり魅力向上助成金」（令和5年度）,https://hojyokin-portal.jp/subsidies/27612,横浜市
27,神奈川県：「海外展開助成金」（令和5年度）,https://hojyokin-portal.jp/subsidies/27611,公益財団法人 横浜企業経営支援財団
28,神奈川県横浜市：「2023年度LIP. 横浜 トライアル助成金（...,https://hojyokin-portal.jp/subsidies/27259,横浜市
29,神奈川県横浜市：「2023年度LIP. 横浜 トライアル助成金（...,https://hojyokin-portal.jp/subsidies/27258,横浜市
30,神奈川県横浜市：「令和3年度国内展示会等出展助成金」[コピー],https://hojyokin-portal.jp/subsidies/21645,横浜企業経営支援財団
31,神奈川県横浜市：「横浜市創業促進助成金」（令和4年度）,https://hojyokin-portal.jp/subsidies/21467,横浜市
32,神奈川県横浜市：「小規模事業者等省エネ・デジタル化支援補助金」,https://hojyokin-portal.jp/subsidies/20831,横浜市
33,神奈川県：「海外展開助成金」,https://hojyokin-portal.jp/subsidies/19481,公益財団法人 横浜企業経営支援財団
34,神奈川県横浜市：「ものづくり魅力発信助成金」,https://hojyokin-portal.jp/subsidies/18898,横浜市
35,神奈川県横浜市：「令和4年度 知的財産活動助成金」,https://hojyokin-portal.jp/subsidies/18820,横浜市
36,神奈川県横浜市：「グリーンリカバリー設備投資補助金」,https://hojyokin-portal.jp/subsidies/18093,横浜市
37,神奈川県横浜市：「令和4年度中小企業設備投資等助成金」,https://hojyokin-portal.jp/subsidies/18032,横浜市
38,神奈川県横浜市：「令和４年度小規模事業者設備投資助成金」,https://hojyokin-portal.jp/subsidies/18030,横浜市
39,神奈川県横浜市：「横浜市タクシー事業者支援金」,https://hojyokin-portal.jp/subsidies/17173,横浜市
40,神奈川県：「海外展示商談会出展支援事業助成金」,https://hojyokin-portal.jp/subsidies/15767,横浜企業経営支援財団
41,神奈川県：「令和3年度 横浜市創業促進助成金」,https://hojyokin-portal.jp/subsidies/15766,神奈川県横浜市
42,神奈川県横浜市：「令和3年度 横浜市創業促進助成金」,https://hojyokin-portal.jp/subsidies/12583,横浜市
43,神奈川県横浜市：「横浜市新型コロナウイルス感染症対応飲食事業者支...,https://hojyokin-portal.jp/subsidies/15364,横浜市
44,香川県横浜市：「横浜市新型コロナウイルス感染症対応飲食事業者支援...,https://hojyokin-portal.jp/subsidies/15209,横浜市
45,神奈川県横浜市：〆切間近！「事業継続・展開支援補助金（設備投資支...,https://hojyokin-portal.jp/subsidies/14426,横浜市
46,神奈川県横浜市:：「事業継続・展開支援補助金（設備投資支援型）」...,https://hojyokin-portal.jp/subsidies/13693,横浜市
47,神奈川県横浜市：「令和4年4月開所　家庭的保育事業」,https://hojyokin-portal.jp/subsidies/13381,横浜市
48,神奈川県横浜市：「令和4年4月開所  小規模保育事業＜2次募集＞...,https://hojyokin-portal.jp/subsidies/13382,横浜市
49,神奈川県横浜市：「事業継続・展開支援補助金（設備投資支援型）」,https://hojyokin-portal.jp/subsidies/13185,横浜市
50,神奈川県横浜市：「仲卸業者等経営改善支援事業補助金」,https://hojyokin-portal.jp/subsidies/12798,横浜市
51,神奈川県横浜市：「事業継続・展開支援補助金（販路開拓支援型）」,https://hojyokin-portal.jp/subsidies/11574,横浜市
52,神奈川県：「医工連携推進事業『国内展示会等出展助成金』」,https://hojyokin-portal.jp/subsidies/11542,横浜企業経営支援財団
53,神奈川県：「海外展示商談会出展支援事業助成金」,https://hojyokin-portal.jp/subsidies/10931,横浜企業経営支援財団
54,神奈川県：「海外拠点の設立をサポートします！～調査費用を2/3助...,https://hojyokin-portal.jp/subsidies/10932,横浜企業経営支援財団
55,神奈川県横浜市：「中小企業新技術・新製品開発促進助成金」,https://hojyokin-portal.jp/subsidies/10835,横浜市
56,神奈川県横浜市：「令和2年度 職場環境向上支援助成金～新型コロナ...,https://hojyokin-portal.jp/subsidies/9506,横浜市
57,神奈川県横浜市：「横浜市新型コロナウイルス感染症対応資金(実質無...,https://hojyokin-portal.jp/subsidies/9505,横浜市
58,神奈川県：「海外展示商談会出展支援事業助成金」【2次募集】,https://hojyokin-portal.jp/subsidies/8951,横浜企業経営支援財団
59,神奈川県：「海外展示商談会出展支援事業助成金」＜2次募集＞,https://hojyokin-portal.jp/subsidies/8916,横浜企業経営支援財団
60,神奈川県：「海外展示商談会出展支援事業助成金」,https://hojyokin-portal.jp/subsidies/7211,横浜企業経営支援財団
61,神奈川県横浜市：「ものづくり魅力発信助成金」,https://hojyokin-portal.jp/subsidies/7118,横浜市
62,神奈川県横浜市：「横浜市　SDGs biz サポート補助金」,https://hojyokin-portal.jp/subsidies/6384,横浜市
63,神奈川県：「国内展示会等出展支援助成金」,https://hojyokin-portal.jp/subsidies/6195,横浜企業経営支援財団
64,神奈川県横浜市：「中小企業の『新しい生活様式』対応支援事業補助金...,https://hojyokin-portal.jp/subsidies/6089,横浜市
65,神奈川県横浜市：商店街等の活動に対する一時金の交付（新型コロナウ...,https://hojyokin-portal.jp/subsidies/5116,横浜市
66,神奈川県横浜市：「令和2年度 職場環境向上支援助成金＜新型コロナ...,https://hojyokin-portal.jp/subsidies/3748,横浜市
67,神奈川県横浜市：「新型コロナウイルス感染症緊急特別資金（売上15...,https://hojyokin-portal.jp/subsidies/3683,横浜市
68,神奈川県横浜市：芸術創造特別支援事業リーディング・プログラム「Y...,https://hojyokin-portal.jp/subsidies/3920,横浜市芸術文化振興財団
69,横浜：「海外進出支援事業事業化可能性調査助成金」,https://hojyokin-portal.jp/subsidies/3419,横浜企業経営支援財団
70,横浜：「海外展示商談会出展支援」,https://hojyokin-portal.jp/subsidies/3420,横浜企業経営支援財団
71,横浜：海外拠点の設立をサポートします! ～調査費用を2/3助成～,https://hojyokin-portal.jp/subsidies/3356,横浜企業経営支援財団
72,横浜市中小企業設備投資等助成金（IT・IoT導入型）,https://hojyokin-portal.jp/subsidies/260,横浜市
73,横浜市：クリエイターのための事務所等開設支援助成,https://hojyokin-portal.jp/subsidies/3125,横浜市芸術文化振興財団
74,横浜市：ヨコハマ創造産業振興助成,https://hojyokin-portal.jp/subsidies/3124,横浜市芸術文化振興財団
75,横浜市：2020年度 U39アーティスト・フェローシップ助成,https://hojyokin-portal.jp/subsidies/3122,横浜市芸術文化振興財団
76,横浜市：クリエイティブ・インクルージョン活動助成,https://hojyokin-portal.jp/subsidies/3123,横浜市芸術文化振興財団
77,LIP. 横浜 トライアル助成金,https://hojyokin-portal.jp/subsidies/2604,木原記念横浜生命科学振興財団
78,「横浜市被災中小企業復旧支援補助金」,https://hojyokin-portal.jp/subsidies/1685,横浜市
79,横浜市 小規模事業者設備投資助成金,https://hojyokin-portal.jp/subsidies/254,横浜市
