cid,datahead,dataurl,creator,contributor
1,   横浜市統計書　第15章　衛生及び環境       xlsx   ,/dataset/seisaku_15,統計情報課,統計情報課
2,   環境衛生関係施設一覧       ZIP   ,/dataset/iryo_kankyodata,生活衛生課,生活衛生課
3,   環境に関する市民意識調査       xlsx   CSV   ,/dataset/kankyo_shiminchousa,政策課,政策課
4,   日常生活圏域等別データ    各年3月末時点における圏域別の人口及び介護認定者数、各割合    CSV   ,/dataset/kenko_default20220620,地域包括ケア推進課,地域包括ケア推進課
5,   横浜市統計書　第10章　建物及び住宅       xlsx   ,/dataset/seisaku_10,統計情報課,統計情報課
6,   横浜市統計書　第17章　司法及び治安       xlsx   ,/dataset/seisaku_17,統計情報課,統計情報課
7,   令和５(2023)年　人口・世帯数       PDF   ,/dataset/seisaku_r5news,統計情報課,統計情報課
8,   令和５(2023)年　外国人の人口       xlsx   ,/dataset/seisaku_r5gaikokujin,統計情報課,統計情報課
9,   令和５(2023)年　町丁別人口（住民基本台帳による）       xlsx   ,/dataset/seisaku_r5cho,統計情報課,統計情報課
10,   横浜市統計書　第20章　選挙、議会及び市職員       xlsx   ,/dataset/seisaku_20,統計情報課,統計情報課
11,   人口動態（月次）－行政区       CSV   ZIP   ,/dataset/seisaku_jinko-dotai-tsuki,統計情報課,統計情報課
12,   月間の人口の動き       xlsx   ,/dataset/seisaku_tsuki,統計情報課,統計情報課
13,   月別火災発生件数       CSV   ,/dataset/seisaku_kasai,統計情報課,統計情報課
14,   横浜市統計書　第14章　社会福祉       xlsx   ,/dataset/seisaku_14,統計情報課,統計情報課
15,"   男女別人口及び世帯数－町丁    住民基本台帳に記載された世帯数・人口を町・丁（字にあたる丁）別に毎月末現在で集計したもの。推計人口とは一致しない。""町名""のうち""－""のレコードは、行政区の情報を表す。どの町にも計上されない人口や世帯が存在するため、行政区の数値と町の数値の合計が一致しない場合がある。    ZIP   ",/dataset/seisaku_toroku02,統計情報課,統計情報課
16,   月別平均気温と降水量       CSV   ,/dataset/seisaku_kion-kosui,統計情報課,統計情報課
17,   横浜市統計書　第１章　土地及び気象       xlsx   ,/dataset/seisaku_01,統計情報課,統計情報課
18,   外国人人口－行政区    住民基本台帳に基づく毎月末現在の外国人人口。町丁別及び年齢別の数値の掲載はない。    CSV   ,/dataset/seisaku_toroku04,統計情報課,統計情報課
19,   横浜市統計書　第９章　道路、運輸及び通信       xlsx   CSV   ,/dataset/seisaku_09,統計情報課,統計情報課
20,   毎月の人口の推移（推計人口による）       xlsx   ,/dataset/seisaku_suii,統計情報課,統計情報課
21,   横浜市統計書　第６章　商業       xlsx   ,/dataset/seisaku_06,統計情報課,統計情報課
22,   救急出場件数と搬送人員       CSV   ,/dataset/seisaku_kyukyu,統計情報課,統計情報課
23,   住民基本台帳人口       xlsx   ,/dataset/seisaku_juki,統計情報課,統計情報課
24,   推計人口・世帯数【最新】       PDF   ,/dataset/seisaku_saishin-news,統計情報課,統計情報課
25,   横浜市統計書　第２章　人口       xlsx   ,/dataset/seisaku_02,統計情報課,統計情報課
26,   男女別人口及び世帯数－行政区    国勢調査結果を基に、出生・死亡・転出入等を加減した推計人口であり、住民基本台帳の登録者数とは一致しません。    CSV   ,/dataset/seisaku_suikei01,統計情報課,統計情報課
27,   テイクアウト＆デリバリー横浜       CSV   ,/dataset/keizai_takeout,商業振興課,商業振興課
28,   広報よこはま瀬谷区版2023（令和５）年発行分       TXT   ,/dataset/seya_seya2023,瀬谷区,瀬谷区
29,   2023年（令和5年）広報よこはま緑区版       ZIP   ,/dataset/midori_2023,緑区,緑区
30,   横浜市内の病院・一般診療所・歯科診療所名簿    横浜市内の医療施設名簿（病院・一般診療所・歯科診療所）    CSV   ,/dataset/iryo_iryoumeibo,医療安全課,医療安全課
31,   令和５(2023)年　町丁別の年齢別人口（住民基本台帳による）       CSV   ,/dataset/seisaku_r5cho-nen,統計情報課,統計情報課
32,   広報よこはま南区版       TXT   ,/dataset/minami_koho-minami-latest,南区,南区
33,   【港北区】刊行物       TXT   ,/dataset/kohoku_hakkou,港北区,港北区
34,   ヨコハマ議会だより（オープンデータ）       TXT   CSV   ,/dataset/shikai_dayori,議会局,議会局
35,   2023年11月号       TXT   ,/dataset/kanazawa_202311,金沢区,金沢区
36,   2023（令和５）年分       PDF   ZIP   ,/dataset/tsuzuki_r5tzkoho,都筑区,都筑区
37,   最新号（広報よこはま都筑区版2023（令和５）年11月号）       PDF   ZIP   ,/dataset/tsuzuki_tzkohosaishingou,都筑区,都筑区
38,   広報よこはま青葉区版　令和5年（2023年）分       ZIP   ,/dataset/aoba_kohoaoba2023,青葉区,青葉区
39,   2023（令和5）年11月号       TXT   ,/dataset/izumi_koyoko202311,泉区,泉区
40,   横浜市統計書　第12章　物価及び家計       xlsx   ,/dataset/seisaku_12,統計情報課,統計情報課
41,   横浜市統計書　第16章　教育及び文化       xlsx   ,/dataset/seisaku_16,統計情報課,統計情報課
42,   横浜市統計書　第８章　貿易及び港湾       xlsx   ,/dataset/seisaku_08,統計情報課,統計情報課
43,   横浜市統計書　第13章　労働       xlsx   ,/dataset/seisaku_13,統計情報課,統計情報課
44,   横浜市統計書　第７章　金融及び保険       xlsx   ,/dataset/seisaku_07,統計情報課,統計情報課
45,   2023年９月号       TXT   ,/dataset/kanazawa_202309,金沢区,金沢区
46,   市税決算額調       PDF   CSV   xlsx   XLS   ,/dataset/zaisei_kessan-dl,徴収対策課,徴収対策課
47,   長期時系列データ（人口・世帯）       xlsx   ,/dataset/seisaku_choki,統計情報課,統計情報課
48,   令和５(2023)年　年齢別人口（住民基本台帳による）       xlsx   ,/dataset/seisaku_r5nen,統計情報課,統計情報課
49,   令和５(2023)年　世帯人員別世帯数（住民基本台帳による）       xlsx   ,/dataset/seisaku_r5setai,統計情報課,統計情報課
50,   横浜市統計書　第18章　市民経済計算及び産業連関表       xlsx   ,/dataset/seisaku_18,統計情報課,統計情報課
51,"   世帯人員別世帯数－町丁    住民基本台帳に基づく世帯数を町・丁（字にあたる丁）別世帯人員別に集計したもの。""町名""のうち""－""のレコードは、行政区の情報を表す。どの町にも計上されない人口や世帯が存在するため、行政区の数値と町の数値の合計が一致しない場合がある。    ZIP   ",/dataset/seisaku_toroku05,統計情報課,統計情報課
52,   横浜市統計書　第４章　農林業及び漁業       xlsx   ,/dataset/seisaku_04,統計情報課,統計情報課
53,"   年齢、男女別人口－町丁    住民基本台帳に基づく人口を町・丁（字にあたる丁）別年齢別に半期ごとに集計したもの。""町名""のうち""－""のレコードは、行政区の情報を表す。""年齢""のうち""100""は、「100歳以上」を意味する。どの町にも計上されない人口や世帯が存在するため、行政区の数値と町の数値の合計が一致しない場合がある。    ZIP   ",/dataset/seisaku_toroku03,統計情報課,統計情報課
54,   ワンストップ財政情報（アニュアルレポート）       xlsx   ,/dataset/zaisei_onestopzaisei,財政課,財政課
55,   はまふぅどナビ【最新号】    地産地消の情報誌、2018年７月【48号】～    docx   ,/dataset/kankyo_navi,農業振興課,農業振興課
56,   旭中央地区「四季めぐり号」       ZIP   ,/dataset/doro_asahi-bus,都市交通課,都市交通課
57,   横浜市中小企業融資のご案内    横浜市中小企業融資制度の融資件数と融資額の年度別実績    CSV   ,/dataset/keizai_yushi,金融課,金融課
58,   横浜市の財務書類       PDF   ZIP   xlsx   ,/dataset/zaisei_zaimusyorui,財政課,財政課
59,   2023月10月号       TXT   ,/dataset/kanazawa_202310,金沢区,金沢区
60,   2023（令和5）年10月号       TXT   ,/dataset/izumi_koyoko202310,泉区,泉区
61,   横浜市保有土地情報一覧    横浜市保有土地の情報について 資産名称、所在地、所管局名など ※令和４年度末時点の道路、河川、企業会計等以外の土地を掲載しています。    xlsx   PDF   ,/dataset/zaisei_hoyuutoti,ファシリティマネジメント推進課,ファシリティマネジメント推進課
62,   横浜市統計書　第５章　製造業及び工業       xlsx   ZIP   ,/dataset/seisaku_05,統計情報課,統計情報課
63,   令和５年度予算       PDF   xlsx   ZIP   ,/dataset/zaisei_r5,財政課,財政課
64,   観光入込客数       CSV   ,/dataset/seisaku_irikomikyakusu,統計情報課,統計情報課
65,   2023（令和5）年9月号       TXT   ,/dataset/izumi_koyoko202309,泉区,泉区
66,   21大都市都市計画道路進捗状況       PDF   ,/dataset/doro_01182009,企画課,企画課
67,   横浜市内の薬局、医薬品販売業者、高度管理医療機器等販売業・貸与業者、再生医療等製品販売業者 名簿       CSV   ,/dataset/iryo_yakumumeibo,医療安全課,医療安全課
68,   災害時給水所    市内の災害時給水所の名前、位置データなどを掲載    CSV   ,/dataset/suidou_oukyu-kyusui,総務課,総務課
69,   保育所・横浜保育室（設置数、在籍児童数及び待機児童数）       CSV   ,/dataset/seisaku_hoiku01,統計情報課,統計情報課
70,   2023年８月号       TXT   ,/dataset/kanazawa_202308,金沢区,金沢区
71,   2023（令和5）年8月号       TXT   ,/dataset/izumi_koyoko202308,泉区,泉区
72,   2023年8月号       PDF   ,/dataset/hodogaya_2308,保土ケ谷区,保土ケ谷区
73,   横浜市統計書　第３章　事業所       xlsx   ,/dataset/seisaku_03,統計情報課,統計情報課
74,   横浜市の図書館（横浜市立図書館年報）2023    令和４年度横浜市立図書館の資料、利用に関する統計    CSV   ,/dataset/kyoiku_nenpou2023,企画運営課,企画運営課
75,   横浜市の土地取引件数・面積       xlsx   ,/dataset/toshi_torihiki,企画課,企画課
76,   2023（令和5）年7月号       TXT   ,/dataset/izumi_koyoko202307,泉区,泉区
77,   2023年７月号       TXT   ,/dataset/kanazawa_202307,金沢区,金沢区
78,   2023年７月号       TXT   ,/dataset/hodogaya_2307,保土ケ谷区,保土ケ谷区
79,   丘陵部における行動実態調査    令和４年度に実施した神奈川区丘陵部調査の結果データ    CSV   ,/dataset/kanagawa_kyuryobutyousa,区政推進課,区政推進課
80,   ◇福祉・保健（生活保護、国民年金、国民健康保険、生活衛生）       xlsx   CSV   ,/dataset/tsuzuki_opendate,総務課,総務課
81,   市民経済計算（市内総生産等）       CSV   ,/dataset/seisaku_keizai-keisan,統計情報課,統計情報課
82,   要介護認定者の推移       CSV   ,/dataset/seisaku_kaigo01,統計情報課,統計情報課
83,   生活保護世帯、実人員の推移       CSV   ,/dataset/seisaku_seiho01,統計情報課,統計情報課
84,   2023（令和5）年6月号       TXT   ,/dataset/izumi_koyoko202306,泉区,泉区
85,   2023年６月号       TXT   ,/dataset/kanazawa_202306,金沢区,金沢区
86,   2023年6月号       TXT   ,/dataset/hodogaya_2306,保土ケ谷区,保土ケ谷区
87,   横浜市統計書　第11章　上下水道       xlsx   ,/dataset/seisaku_11,統計情報課,統計情報課
88,   横浜市統計書　主要統計長期指標       xlsx   ,/dataset/seisaku_choki-1,統計情報課,統計情報課
89,   令和４年度横浜市民意識調査       xlsx   CSV   ,/dataset/seisaku_ishiki2022,政策課,政策課
90,   横浜市将来人口推計       XLS   ,/dataset/seisaku_jinkosuikei,政策課,政策課
91,   ごみの分別を調べる       CSV   ,/dataset/shigen_dashikata,３Ｒ推進課,３Ｒ推進課
92,   市民経済計算       xlsx   PDF   ,/dataset/seisaku_sna,統計情報課,統計情報課
93,   消費者物価指数       CSV   ,/dataset/seisaku_bukka-shisu,統計情報課,統計情報課
94,   2023年５月号       TXT   ,/dataset/kanazawa_202305,金沢区,金沢区
95,   2023（令和5）年5月号       TXT   ,/dataset/izumi_koyoko202305,泉区,泉区
96,   戸塚区小雀地区（ワゴン型路線バス新設）「こすずめ号」       ZIP   ,/dataset/doro_kosuzume-bus,都市交通課,都市交通課
97,   都市計画道路の整備状況       PDF   ,/dataset/doro_tokeidou,企画課,企画課
98,   横浜市公共建築物マネジメント白書    公共建築物の施設情報（令和２年度末時点）掲載項目 市民利用施設、社会福祉施設、学校施設の「施設の用途」「施設名称」「所在区」「竣工年度」「延床面積」「管理形態」「年平均利用者数※」「年平均利用率・稼働率等※」「年間総コスト（使用料等、その他（補助金、有償貸付料等）、指定管理料等、修繕・改修費等）※」「利用者 1...    xlsx   CSV   ,/dataset/zaisei_manejiment_hakusho,ファシリティマネジメント推進課,ファシリティマネジメント推進課
99,   セーフティネット保証等認定のご案内    セーフティネット保証のための認定件数の年度別実績    CSV   ,/dataset/keizai_safety,金融課,金融課
100,   令和４(2022)年　世帯人員別世帯数（住民基本台帳による）       xlsx   ,/dataset/seisaku_r4setai,統計情報課,統計情報課
101,   令和４(2022)年　年齢別人口（住民基本台帳による）       xlsx   ,/dataset/seisaku_r4nen,統計情報課,統計情報課
102,   令和４(2022)年　町丁別の年齢別人口（住民基本台帳による）       CSV   ,/dataset/seisaku_r4cho-nen,統計情報課,統計情報課
103,   令和３(2021)年　町丁別の年齢別人口（住民基本台帳による）       CSV   ,/dataset/seisaku_r3cho-nen,統計情報課,統計情報課
104,   着工新設住宅戸数       CSV   ,/dataset/seisaku_jutaku-chakko,統計情報課,統計情報課
105,   財政状況資料集       xlsx   ,/dataset/zaisei_shiryoushu,財政課,財政課
106,   平成29年度予算       PDF   XLS   ZIP   xlsx   ,/dataset/zaisei_29yosan,財政課,財政課
107,   平成30年度予算       PDF   XLS   ZIP   ,/dataset/zaisei_30yosan,財政課,財政課
108,   事業別行政コスト計算書       PDF   ,/dataset/zaisei_gyoukosu,財政課,財政課
109,   横浜市に関する意識・生活行動実態調査       xlsx   ,/dataset/bunka_chosa,にぎわい創出戦略課,にぎわい創出戦略課
110,   横浜市の長期財政推計       PDF   xlsx   ,/dataset/zaisei_tyoukisuikei,財政課,財政課
111,   令和３年度予算       PDF   xlsx   ZIP   ,/dataset/zaisei_r3,財政課,財政課
112,   令和４年度予算       PDF   xlsx   ZIP   ,/dataset/zaisei_r4,財政課,財政課
113,   普通会計決算の概要       PDF   xlsx   ,/dataset/zaisei_futsu_kessan_gaiyo,財政課,財政課
114,   決算カード（普通会計決算の状況）       PDF   ,/dataset/zaisei_card,財政課,財政課
115,   平成26年度予算       PDF   XLS   ,/dataset/zaisei_26yosan,財政課,財政課
116,   令和２年度予算       PDF   xlsx   ZIP   ,/dataset/zaisei_02yosan,財政課,財政課
117,   平成28年度予算       PDF   XLS   xlsx   ,/dataset/zaisei_28yosan,財政課,財政課
118,   横浜市の持続的な発展に向けた財政ビジョン（確定版）数値データ       xlsx   ,/dataset/zaisei_vision_suchideta,財政課,財政課
119,   令和元年度予算（平成31年度予算）       PDF   xlsx   ZIP   ,/dataset/zaisei_31yosan,財政課,財政課
120,   2023（令和5）年4月号       TXT   ,/dataset/izumi_koyoko202304,泉区,泉区
121,   2023年４月号       TXT   ,/dataset/kanazawa_202304,金沢区,金沢区
122,   港北福祉保健センターからのお知らせ       TXT   xlsx   ,/dataset/kohoku_center-oshirase,福祉保健課,福祉保健課
123,   横浜市民の防災・減災の意識、取組に関するアンケート調査       CSV   ,/dataset/somu_enquete-r03,防災企画課,防災企画課
124,   令和４(2022)年中の人口動態       xlsx   ,/dataset/seisaku_r4dotai,統計情報課,統計情報課
125,   横浜市中期４か年計画2018～2021       PDF   TXT   ,/dataset/seisaku_chuki2018-,政策課,政策課
126,   従業者数４人以上の製造業事業所－町丁       ZIP   ,/dataset/seisaku_kogyo01,統計情報課,統計情報課
127,   人口動態（年次）       CSV   ,/dataset/seisaku_jinko-dotai,統計情報課,統計情報課
128,   年齢、男女別人口－行政区       ZIP   ,/dataset/seisaku_suikei03,統計情報課,統計情報課
129,   人口と世帯数の推移       CSV   ,/dataset/seisaku_jinko-setai-suii,統計情報課,統計情報課
130,   有効求人倍率       CSV   ,/dataset/seisaku_rodo-kyujin,統計情報課,統計情報課
131,   ごみ収集量の推移       CSV   ,/dataset/seisaku_gomi,統計情報課,統計情報課
132,   平均消費支出（二人以上の世帯のうち勤労者世帯）       CSV   ,/dataset/seisaku_kakei-shohi,統計情報課,統計情報課
133,   自動車台数と交通事故発生件数       CSV   ,/dataset/seisaku_kotsujiko,統計情報課,統計情報課
134,   ◇目次、歴史年表、都筑区の主なデータ指標、人口（区別、推移、増加数、出生数、町丁別）       xlsx   CSV   ,/dataset/tsuzuki_opendate1,総務課,総務課
135,   ◇統計調査（基幹統計調査について）、令和５年度の統計トピック       xlsx   CSV   ,/dataset/tsuzuki_opendate10,総務課,総務課
136,   ◇福祉・保健（子どもと家庭支援）       xlsx   CSV   ,/dataset/tsuzuki_opendate8,総務課,総務課
137,   ◇福祉・保健（高齢者・障害者支援、高齢者支援、介護保険、障害者支援）       xlsx   CSV   ,/dataset/tsuzuki_opendate5,総務課,総務課
138,   ◇福祉・保健（福祉関係団体、医務・薬務・人口動態、健康づくり、感染症・届出状況、いわゆる「ごみ屋敷」）       xlsx   CSV   ,/dataset/tsuzuki_opendate6,総務課,総務課
139,   ◇戸籍・住民登録、外国人人口、市税、地価、選挙       xlsx   CSV   ,/dataset/tsuzuki_opendate4,総務課,総務課
140,   ◇生活と環境（緑・公園、用途地域、道路、学校、環境、自治会・町内会、ごみ、消防、警察、防災、自動車、市営地下鉄、文化施設）       xlsx   CSV   ,/dataset/tsuzuki_opendata3,総務課,総務課
141,   ◇国勢調査（人口等基本集計、昼夜間人口、労働力、居住期間）、産業（事業所、商業、工業、農業）       xlsx   CSV   ,/dataset/tsuzuki_opendate2,総務課,総務課
142,   2023年３月号       TXT   ,/dataset/kanazawa_202303,区政推進課,区政推進課
143,   2023（令和5）年3月号       TXT   ,/dataset/izumi_koyoko202303,区政推進課,区政推進課
144,   2023年１月号       TXT   ,/dataset/kanazawa_202301,金沢区,金沢区
145,   2022年３月号    広報よこはま金沢区版３月号テキスト版    TXT   ,/dataset/kanazawa_202203,金沢区,金沢区
146,   2023年２月号       TXT   ,/dataset/kanazawa_202302,金沢区,金沢区
147,   2022年２月号    広報よこはま金沢区版２月号テキスト版    TXT   ,/dataset/kanazawa_202202,金沢区,金沢区
148,   広報よこはま瀬谷区版2022（令和４）年８月号       TXT   ,/dataset/seya_seya2022_8,区政推進課,区政推進課
149,   広報よこはま瀬谷区版2022（令和４）年１月号       TXT   ,/dataset/seya_seya2022_1,区政推進課,区政推進課
150,   広報よこはま瀬谷区版2022（令和４）年７月号       TXT   ,/dataset/seya_seya2022_7,区政推進課,区政推進課
151,   広報よこはま瀬谷区版2022（令和４）年９月号       TXT   ,/dataset/seya_seya2022_9,区政推進課,区政推進課
152,   2023（令和5）年2月号       TXT   ,/dataset/izumi_koyoko202302,区政推進課,区政推進課
153,   市・区の年齢別の人口（推計人口による、１月１日現在）       xlsx   ,/dataset/seisaku_suikei,統計情報課,統計情報課
154,   令和４年度港南区区民意識調査       xlsx   ,/dataset/konan_ishiki,区政推進課,区政推進課
155,   令和４(2022)年　町丁別人口（住民基本台帳による）       xlsx   ,/dataset/seisaku_r4cho,統計情報課,統計情報課
156,   令和４(2022)年　外国人の人口       xlsx   ,/dataset/seisaku_r4gaikokujin,統計情報課,統計情報課
157,   令和４(2022)年　人口・世帯数       PDF   ,/dataset/seisaku_r4news,統計情報課,統計情報課
158,   2023（令和5）年1月号       TXT   ,/dataset/izumi_koyoko202301,区政推進課,区政推進課
159,   2022（令和４）年分       PDF   ZIP   ,/dataset/tsuzuki_r4tzkoho,区政推進課,区政推進課
160,   広報よこはま瀬谷区版2022（令和４）年12月号       TXT   ,/dataset/seya_seya2022_12,区政推進課,区政推進課
161,   2023年1月号       TXT   ,/dataset/hodogaya_2301,区政推進課,区政推進課
162,   広報よこはまあさひ区版（2022年分）       ZIP   ,/dataset/asahi_asahikuban-2022,区政推進課,区政推進課
163,   横浜市環境管理計画年次報告書　資料編    環境に関するオープンデータ    ZIP   ,/dataset/kankyo_shiryou,政策課,政策課
164,   広報よこはま栄区版2019年       TXT   ,/dataset/sakae_kohosakaekuban2019,栄区,栄区
165,   広報よこはま栄区版2021年       TXT   ,/dataset/sakae_kohosakaekuban2021,栄区,栄区
166,   広報よこはま栄区版2020年       TXT   ,/dataset/sakae_kohosakaekuban2020,栄区,栄区
167,   広報よこはま栄区版2018年       TXT   ,/dataset/sakae_kohosakaekuban2018,栄区,栄区
168,   広報よこはま栄区版2022年       TXT   ,/dataset/sakae_kohosakaekuban2022,栄区,栄区
169,   横浜港統計オープンデータ（2021年）       ZIP   ,/dataset/kowan_yp_opendata_2021,物流運営課,物流運営課
170,   市内住宅に係る集計表（住宅ストックの状況、住宅着工戸数、公的住宅戸数等）    市内住宅に係る集計表    xlsx   CSV   ,/dataset/kenchiku_jijou,住宅政策課,住宅政策課
171,   横浜市民生活白書2019    横浜市民生活白書2019の掲載データ    xlsx   ,/dataset/seisaku_hakusyo2019,政策課,政策課
172,   広報よこはま港南区版2022年       TXT   ,/dataset/konan_kouhou2022,区政推進課,区政推進課
173,   2022年（令和4年）広報よこはま緑区版       ZIP   ,/dataset/midori_2022,緑区,緑区
174,   広報よこはま青葉区版　令和4年（2022年）分       ZIP   ,/dataset/aoba_kohoaoba2022,青葉区,青葉区
175,   広報よこはま瀬谷区版2022（令和４）年11月号       TXT   ,/dataset/seya_seya2022_11,区政推進課,区政推進課
176,   2022年12月号       TXT   ,/dataset/kanazawa_202212,区政推進課,区政推進課
177,   2022（令和4）年12月号       TXT   ,/dataset/izumi_koyoko202212,区政推進課,区政推進課
178,   2022年12月号       TXT   ,/dataset/hodogaya_2212,区政推進課,区政推進課
179,   横浜港統計オープンデータ（2016年）       ZIP   ,/dataset/kowan_yp_opendata_2016,物流運営課,物流運営課
