タイムスタンプ,メールアドレス,（１）  あなたが創りたい未来の横浜とは、どのようなものですか？（回答例：緑と花があふれる自然共生的な街、企業と市民が共に助け合い地域の課題に立ち向かう先駆的な街、全世界に誇る循環型経済圏の実践に成功している街等）,（２）創りたい未来の実現のため、あなたはコンソーシアム内でどのような役割を果たしたいですか？（回答例：情報発信、事例提供、企業に対する公民連携やリビングラボへの認知拡大および教育、行政と企業の対話によるオープンイノベーションの成功事例の開拓等）,（３）  その役割が果たせたかどうかを、どのような指標で測ることができると思いますか？（SNSでのいいねの数、イベント来客者数、問い合わせ数、寄付獲得金額、寄付者数、人口増加数等、耕作放棄面積等）,（４） 今後に向け、こういうことが出来たらいいな、やってみたいな、という事業あるいは会議体等があれば自由にご回答ください。,ニックネームを教えてください(団体名・氏名でも可)
2023/10/22 10:17:43,,横浜を、地域や社会のためになる活動をやりたいと思った人が、自由に相談し、仲間を見つけ、支援者とつながり、事業計画を立てて様々な活動に挑戦できると思えるような、そんなオープンかつチャンスを感じられる街にしたい。,事業提案者の理念、チーム、スキル、事業の収益可能性、支援後の効果検証およびモニタリング等の各フェーズで用いられる事業評価手法の開発と運用,事業設立数、黒字事業数（含む社会的インパクト）、黒字額（含む社会的インパクト）、KPI達成進捗カーブ,皆さんがやりたいこと、やってみたいことを自由に投稿頂き、あれこれ議論できるようなアイデアサンドボックスの構築と運用,TA前川
2023/10/22 15:06:57,,市民、企業、行政が一体となり、高度な自治を実現している街,行政と企業の対話によるオープンイノベーションの成功事例の開拓と、キャリア教育の一環としての子どもたちによる地域課題解決への参画促進,行政と企業の共創による事業取り組み数・売上伸び率・行政の生産性向上指数など、小中高生の自己有用感の改善率、横浜出身者の地元企業への就職者数,ケースメソッドによる共創創発ワークショプ、子どもと横浜型地域貢献企業が一緒に参加する共創ダイアログ,emo
2023/10/22 19:49:45,,誰もが自分らしさを活かし、自然や人と関わりながら楽しく優しく共生している、コンヴィヴィアルなまち,情報発信（市外・海外への発信も含めて）。横浜市内各地で展開されている取り組みの価値を可視化し、伝えていく。それによって出会いが生まれ、その出会いが一人一人の勇気や自信、生きがいにつながり、新たな取り組みの創造につながる。そんなループを作りたい。,記事数、Webサイトへの訪問者数、記事によって感謝された数,「循環経済とケア」をテーマとするイベントや事業,Yu
2023/10/23 8:36:28,,自然と調和しながら、そこに暮らす人が「生きがい」「やりがい」を感じながら、フォーマルなサービスや制度だけではなく、住民自ら「たすけあい」「ささえあい」「あかちあい」ながら、お金も仕事・エネルギー等が地域の中で循環し持続していく街を夢見ています。,団地という多種多様な人々が暮らす場で、住民の声を聞き、それを行政や企業と共有しながら、実走できる仕組み作りを行っていきたいと思っています。,そこに暮らす人々の定量的な幸福度の調査を継続して行いデータ化する。,今、バラバラに動いている様々な取り組みやプロジェクトを点から面に変えていきたいと思います。,一般社団法人団地暮らしの共創　小柴健一
2023/10/23 10:14:42,,活力ある企業活動が優れた雇用環境を市内外の人に提供し、産学官による先進的な取組があふれているまち,行政と企業（と大学）が活発なオープンイノベーションに取り組める場の提供と投資の蓄積,オープンイノベーションの件数と企業の投資額や雇用の実績（報告ベースにはなりますが）,産学官のオープンイノベーションの場は既にあるので、そこと共創コンソーシアムとの連携の場、さらには実証実験等の場など,きんちゃん
2023/10/23 11:16:24,,目の前の課題解決に忙しくするのではなく、先進的なことや創造的なことに人々の時間やお金を割くことができる能動的な街,20代という立場から、自分の持っている価値観や希望、理想を積極的に発信する。,市民意識調査（未来に対する希望・不安を問う設問の回答）、選挙の投票率、人口増加数、市内の世帯構成割合,,Circular Yokohama（ハーチ株式会社）
2023/10/24 8:56:06,, 良き新らしきものが良き古きものから自然に成長してくるような状況,良き新しきもの、良き古きものを探す遊歩者、それらを繋ぐ篩(ふるい)としての役割,創造的な勉強会の数、創造的なまちあるきの実施回数、継続的な対話の場の質と数,いろんな局の守備範囲をまたいだ継続的な勉強会。具体的なフィールドをみなで観て考える会。市役所低層部が社会改革の大学院大学のようになる未来が理想。,藤原徹平
2023/10/24 11:48:30,,100年後の未来を見据え、子供達の礎となる利他の精神と農福スポーツ連携したまち。平時でも災害時でもQOLを維持できるフェーズフリーなまち。,新しい事業を創出し、それを見える化しながら認知拡大、資金調達、事業支援を持続的に実施する。（情報発信、事例提供、企業に対する公民連携やリビングラボへの認知拡大および教育等）,コンソーシアムの事業として、竹山団地やすすきの団地で生まれた事業が基軸となり、他の地域で事業支援が出来ている状態。（SNSでのいいねの数、イベント来客者数、問い合わせ数、寄付獲得金額、寄付者数、人口増加数等、耕作放棄面積等）,"企業はふるさと納税獲得に向けた取り組みを団地をキーワードにタブロイド紙を作成しています。行政内の理解や議会承認が必要になります。また、企業や団体側からすると、竹山団地やすすきの団地の取り組みは、Ｊリーグが活用する企業版ふるさと納税同様にイメージしやすく、税金を納める理由の一つになると思っています。

事例イメージ
https://furu-con.jp/projects/609/detail

https://sports.yahoo.co.jp/official/detail/202302090068-spnaviow

https://www.city.yokohama.lg.jp/city-info/seisaku/torikumi/sousei/sousei-ouen/kigyo-furusato.html",NPO法人KUSC・神奈川大学サッカー部藤森
2023/10/24 16:52:30,,自立型経済都市として自立し、愛を持って人や物とか関わりを持てる街,共創案件のブリッジ人材,自立事業としての案件成功数、経済的（雇用率等含む）な結果,ポケモンや、ガンダム等のインパクトのある事業（関係人口の増加含む）,コミュニティデザイン・ラボ　町山
2023/10/24 16:56:37,,18区それぞれに特徴があるので、中区、西区の中心だけでなく、その彩り豊かな特徴を出し合えるまち,それぞれに特徴を活かしあえる情報発信基地,Well-being指標で図る。市民総幸福量の創設など。,人口減少社会でも、明るく仲良く、行ってみたい、住んでみたいまちとなるためにも、みんながまちづくりに参加できる形を模索していきたい,とつかリビングラボ
2023/10/25 5:32:18,,企業と市民が共に助け合い地域の課題に立ち向かう先駆的な街,自治体ニーズと企業シーズの触媒役,実証実験数、寄付件数、寄付金額,触媒役をできる人財育成。具体的には、中小企業診断士資格保有者で企業内にいる（独立していない）診断士に実務経験を積んでもらう場を提供していくための研修,ミッキー
2023/10/25 9:24:40,,エコロジーとテクノロジーとの共生、人と人のコミュニケーションリテラシーの向上,リビングラボ全体のボトムアップとリブランディング、CSRのように一般化させるために地域貢献企業認定制度などのスキームを作りたい,スキームが構築できた時,,いよいよ